epoch,lr,train_loss,val_loss,val_acc,val_f1_macro,best?
1,0.000299,1.397657,1.481229,0.459649,0.345352,YES
2,0.000297,1.196361,1.202497,0.526635,0.463589,YES
3,0.000293,1.112618,0.998420,0.607018,0.551843,YES
4,0.000287,1.040290,1.084693,0.577352,0.534020,
5,0.000280,0.976133,1.231472,0.550877,0.513396,
6,0.000271,0.910462,0.987979,0.614035,0.562380,YES
7,0.000262,0.840215,1.066120,0.589793,0.539643,
8,0.000251,0.760100,1.012728,0.617863,0.569718,YES
9,0.000238,0.669981,1.159484,0.600000,0.562606,
10,0.000225,0.569600,1.099999,0.602871,0.551930,
11,0.000211,0.466175,1.377118,0.570016,0.523410,
12,0.000197,0.379460,1.273026,0.620734,0.560296,
13,0.000182,0.295670,1.229456,0.643381,0.592710,YES
14,0.000166,0.224832,1.437366,0.632855,0.576788,
15,0.000150,0.169103,1.505477,0.622967,0.552827,
16,0.000135,0.128684,1.486563,0.630303,0.577891,
17,0.000119,0.096969,1.663264,0.632855,0.572488,
18,0.000104,0.073767,1.612974,0.644657,0.593471,YES
19,0.000090,0.058031,1.732676,0.637002,0.586368,
20,0.000076,0.041750,1.670525,0.653270,0.608975,YES
21,0.000063,0.035365,1.760524,0.646571,0.603458,
22,0.000050,0.029983,1.754197,0.648485,0.597896,
23,0.000039,0.021977,1.780060,0.646571,0.601826,
24,0.000030,0.017977,1.795310,0.644019,0.594350,
25,0.000021,0.018237,1.806582,0.647209,0.596106,
26,0.000014,0.014005,1.817633,0.649123,0.595680,
27,0.000008,0.014023,1.796723,0.653907,0.606163,
28,0.000004,0.011148,1.798405,0.652313,0.605226,
29,0.000002,0.008119,1.794406,0.651994,0.604472,
30,0.000001,0.007852,1.810627,0.652313,0.603978,
